Insert Times,Search Times,Search Collisions,Insert Collisions
3.00E-08,5.00E-08,,
3.00E-08,3.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,3.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
1.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
1.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
1.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,353,1539
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
4.00E-08,1.00E-08,,
3.00E-08,1.00E-08,,
1.60E-07,2.00E-08,,
4.00E-08,1.00E-08,,
4.00E-08,1.00E-08,,
3.00E-08,1.00E-08,,
3.00E-08,1.00E-08,,
3.00E-08,1.00E-08,,
3.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
3.00E-08,1.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
3.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,1.00E-08,,
3.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
2.00E-08,1.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,1.00E-08,,
3.00E-08,1.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,1.00E-08,,
3.00E-08,2.00E-08,,
2.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,1.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,1.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
4.00E-08,2.00E-08,1979,9682
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
6.00E-08,2.00E-08,,
6.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
3.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,3.00E-08,,
4.00E-08,5.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,3.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
4.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,6991,43826
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
6.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
6.00E-08,3.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,3.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
6.00E-08,3.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
6.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
5.00E-08,3.00E-08,,
6.00E-08,2.00E-08,,
5.00E-08,2.00E-08,,
6.00E-08,3.00E-08,,
6.00E-08,3.00E-08,,
6.00E-08,2.00E-08,,
6.00E-08,2.00E-08,,
6.00E-08,3.00E-08,,
6.00E-08,2.00E-08,,
6.00E-08,3.00E-08,,
6.00E-08,2.00E-08,,
6.00E-08,3.00E-08,,
6.00E-08,2.00E-08,,
7.00E-08,2.00E-08,,
7.00E-08,3.00E-08,,
8.00E-08,2.00E-08,,
8.00E-08,3.00E-08,,
7.00E-08,2.00E-08,,
8.00E-08,3.00E-08,,
8.00E-08,3.00E-08,,
8.00E-08,2.00E-08,,
9.00E-08,3.00E-08,,
8.00E-08,3.00E-08,,
8.00E-08,2.00E-08,,
8.00E-08,3.00E-08,,
8.00E-08,3.00E-08,,
8.00E-08,3.00E-08,,
1.00E-07,2.00E-08,,
9.00E-08,3.00E-08,,
1.10E-07,3.00E-08,,
9.00E-08,3.00E-08,,
8.00E-08,3.00E-08,,
1.00E-07,3.00E-08,,
9.00E-08,3.00E-08,,
1.10E-07,3.00E-08,,
1.20E-07,3.00E-08,,
1.20E-07,3.00E-08,,
1.60E-07,3.00E-08,,
1.30E-07,3.00E-08,,
1.30E-07,3.00E-08,,
1.20E-07,3.00E-08,,
1.50E-07,3.00E-08,,
1.20E-07,3.00E-08,,
2.20E-07,3.00E-08,,
1.40E-07,3.00E-08,,
1.90E-07,3.00E-08,,
1.80E-07,3.00E-08,,
1.70E-07,3.00E-08,,
2.60E-07,3.00E-08,,
2.30E-07,3.00E-08,,
2.10E-07,3.00E-08,,
3.50E-07,2.00E-08,,
2.30E-07,4.00E-08,,
3.10E-07,5.00E-08,,
3.10E-07,3.00E-08,,
2.50E-07,5.00E-08,,
3.20E-07,3.00E-08,,
2.80E-07,4.00E-08,,
3.80E-07,4.00E-08,,
4.20E-07,3.00E-08,,
4.20E-07,3.00E-08,,
5.30E-07,3.00E-08,,
5.40E-07,3.00E-08,,
5.50E-07,3.00E-08,,
6.10E-07,3.00E-08,,
7.90E-07,2.00E-08,,
9.90E-07,4.00E-08,,
7.10E-07,6.00E-08,,
7.90E-07,3.00E-08,,
1.80E-06,5.00E-08,,
1.61E-06,6.00E-08,,
1.45E-06,4.00E-08,,
1.74E-06,3.00E-08,,
1.51E-06,5.00E-08,,
2.06E-06,8.00E-08,,
2.20E-06,5.00E-08,,
4.19E-06,8.00E-08,,
5.25E-06,1.40E-07,,
5.96E-06,5.00E-08,,
1.01E-05,3.00E-08,,
1.55E-05,9.00E-08,,
2.43E-05,7.00E-08,,
3.73E-05,6.90E-07,82490,4810739
